11716;ГотовыезавтракиКаши28;Мюсли запеченные с яблоком и изюмом 300гр 1/12 Кунцево;115.0
11715;ГотовыезавтракиКаши28;Мюсли запеченные экзотик 300гр 1/12 Кунцево;115.0
11714;ГотовыезавтракиКаши28;Мюсли запеченные с лесными ягодами 300гр 1/12 Кунцево;151.0
11713;ГотовыезавтракиКаши28;Мюсли запеченные с шоколадным вкусом и орехами 300гр 1/12 Кунцево;115.0
9509;ГотовыезавтракиКаши28;Сухой завтрак  Три друга  150гр 1/10 ТМ ОГО;119.0
9508;ГотовыезавтракиКаши28;Звездочки со вкусом какао и карамели 150гр 1/10 ТМ ОГО;119.0
7219;ГотовыезавтракиКаши28;Мюсли запеченные с яблоком и грушей 350гр 1/10 ОГО;149.0
4726;ГотовыезавтракиКаши28;Готовый завтрак Nesquik 500 гр 1/10;415.16
4636;ГотовыезавтракиКаши28;Мюсли запеченные с орехом 350гр 1/10 ТМ ОГО;195.0
4545;ГотовыезавтракиКаши28;Сухой завтрак  Cookie rings  140гр 1/10 ТМ ОГО;128.0
3623;ГотовыезавтракиКаши28;Сухой завтрак  Супер Хрупер  Медвежата шоколадные 200гр 1/16;110.0
3622;ГотовыезавтракиКаши28;Сухой завтрак  Супер Хрупер  Шарики шоколадные 200гр 1/16;110.0
