13069;Консервация294;Закуска  Тайны Востока  хумус острый с паприкой ст 200гр 1/12;209.0
13068;Консервация294;Закуска  Тайны Востока  хумус классический ст 200гр 1/12;209.0
12471;Консервация294;Оливки Оливиссимо 280гр 1/12 ж/б Хамон;151.0
10450;Консервация294;Горчица Ядреная Главпродукт 170гр 1/15;64.0
10449;Консервация294;Горчица  Русская  170гр 1/15 Главпродукт;58.0
9500;Консервация294;Шампиньоны Кормилица 425мл рез.ж/б 1/24;171.0
8284;Консервация294;Говядина тушеная в/с 338 гр. Улан-Удэ 1/30 шт;235.0
8277;Консервация294;Сайра с добавлением масла 250гр ж/б 1/48;264.0
8230;Консервация294;Конина тушеная Учугэй в/с ГОСТ 338гр 1/45 Много Мяса;209.0
8229;Консервация294;Свинина тушеная Учугэй в/с ГОСТ 338гр 1/45 Много Мяса;201.0
8208;Консервация294;Оливки Оливиссимо 280гр 1/12 ж/б Креветки;151.0
8207;Консервация294;Оливки Оливиссимо 280гр 1/12 ж/б Лимон;151.0
8206;Консервация294;Оливки Оливиссимо 280гр 1/12 б/к ж/б;119.0
8205;Консервация294;Маслины Оливиссимо 280гр 1/12 б/к ж/б;115.0
8080;Консервация294;Томатная паста  Пиканта  ж/б №9 380гр 1/6;108.0
8079;Консервация294;Томатная паста  Пиканта  ж/б 140гр 1/20;61.0
8077;Консервация294;Овощи из печи 520гр 1/6 Пиканта;153.0
7986;Консервация294;Малиновое варенье 300гр 1/8;259.0
7985;Консервация294;Черничное варенье Домашнее 300гр 1/8;251.0
7984;Консервация294;Черносмородиновое варенье Домашнее 300гр 1/8;189.0
7983;Консервация294;Калиновое варенье Домашнее 300гр 1/8;224.0
7981;Консервация294;Вишневое варенье 300гр 1/8;274.0
7980;Консервация294;Жимолостное варенье Домашнее 300гр 1/8;251.0
7979;Консервация294;Облепиховое варенье Домашнее 300гр 1/8;202.0
7912;Консервация294;Ананасы (кружочки)  Добровита  580 мл 1/24;189.0
7600;Консервация294;Сардины в масле с перцем чили 175гр ж/б 1/36 Главпродукт;128.0
7207;Консервация294;Черешня в легом сиропе  Добровита  580мл 1/12;244.0
7195;Консервация294;Икра 5 овощей 550гр 1/6  Пиканта;134.0
7189;Консервация294;Баклажаны печеные в томатном соусе 520гр 1/6  Пиканта;164.0
7178;Консервация294;Кабачки по домашнему 520гр 1/6  Пиканта;130.0
7176;Консервация294;Рататуй 520гр 1/6  Пиканта;157.0
7163;Консервация294;Рагу овощное Астраханское 520гр 1/6  Пиканта;136.0
7162;Консервация294;Горошек печеный с овощами 530гр 1/6  Пиканта;130.0
7096;Консервация294;Килька обжаренная в т/с Черноморская 240 гр 1/48 Фортуна Крым;42.0
6386;Консервация294;Черника протертая с сахаром дой пак 280гр 1/15 1/40;89.0
6383;Консервация294;Клюква протертая с сахаром дой пак 280гр 1/40;89.0
6381;Консервация294;Брусника протертая с сахаром дой пак 280гр 1/40;112.0
5734;Консервация294;Шпроты в масле Главпродукт 160гр/36;111.0
5733;Консервация294;Гуляш с картофелем обед. блюдо Главпродукт 525гр 1/12;185.0
5729;Консервация294;Сгущенка ПЭТ Перевертыш ГОСТ Главпродукт 600гр 1/12;179.0
5724;Консервация294;Свинина тушеная в/с Семейный бюджет литография 338 гр 1/20 Главпродукт;131.0
5720;Консервация294;Говядина тушеная ГОСТ 1сорт Семейный Бюджет 500гр 1/12;216.0
5712;Консервация294;Говядина тушеная ГОСТ в/с Семейный Бюджет 338гр 1/20 красная лента;154.0
5702;Консервация294;Фасоль с овощами в томатном соусе Главпродукт 470гр 1/12;155.0
5698;Консервация294;Шпроты  Главпродукт  (HANSA) 190гр 1/36;162.0
5696;Консервация294;Томатная паста Томатный рай 480гр Главпродукт 1/12;143.0
5694;Консервация294;Говядина тушеная ГОСТ в/с Семейный Бюджет 500гр 1/12;198.0
5693;Консервация294;Говядина тушеная ГОСТ в/с Семейный Бюджет 338гр 1/20;174.0
5692;Консервация294;Тушенка кусковая говяжья Семейный бюджет №9 340 г 1/20;84.0
5672;Консервация294;Говядина тушеная Главпродукт 1сорт 338гр 1/20 (черная корова);205.0
5658;Консервация294;Говядина тушеная ГОСТ 1 сорт Семейный Бюджет 338гр 1/20;159.0
