12914;Мираторг69;Наггетсы куриные классические 1.5кг 1/6 Мираторг;522.0
12079;Мираторг69;Картофель фри  Байсад  зам. 25кг 1/4;511.0
11541;Мираторг69;Креветки бланшированные очищенные 220гр 1/20 Vитамин;454.0
11534;Мираторг69;Сотэ с прованскими травами 400гр 1/10 Vитамин;161.0
11530;Мираторг69;Шпинат листовой порционный с/м 400гр 1/20 Vитамин;168.0
11529;Мираторг69;Вишня б/косточки с/м 300гр 1/20 Vитамин;177.0
11527;Мираторг69;Шампиньоны резн. с/м 400гр 1/20 Vитамин;171.0
11523;Мираторг69;Рамп стейк б/к зам 480гр 1/4 Мираторг;930.0
11522;Мираторг69;Стейк пиканья из говядины зам.0325кг 1/4 Мираторг;690.0
11521;Мираторг69;Пельмени  Деревенские  800гр 1/8 Мираторг;399.0
11520;Мираторг69;Пельмени  Из мраморной говядины  800гр 1/8 Мираторг;458.0
11518;Мираторг69;Стейк рибай из говядины б/к зам 0320кг 1/4 Мираторг;1522.0
11517;Мираторг69;Стейк Мачете б/к зам Skin 480гр 1/4 Мираторг;1004.0
11516;Мираторг69;Кантри стейк из говядины б/к с/м в/у вес Мираторг;1417.0
7535;Мираторг69;Бельгийская смесь с/м 400гр 1/10 Vитамин;196.0
6270;Мираторг69;Паэлья с морепродуктами в соусе Севилья 400гр 1/10 Vитамин Мираторг;274.0
6269;Мираторг69;Фасоль стручковая рез.с/м 30-40мм 400гр 1/10 Vитамин Мираторг;147.0
6235;Мираторг69;Горошек зеленый 8-9мм с/м 400гр 1/20 Vитамин;168.0
4871;Мираторг69;Пельмени из телятины с/м 800гр 1/8 Мираторг;517.0
4870;Мираторг69;Пельмени  Из мраморной говядины  400гр 1/16 Мираторг;241.0
4869;Мираторг69;Манты  По-восточному с/м 800гр 1/8 Мираторг;416.0
4858;Мираторг69;Летняя смесь (овощи) с/м 400гр 1/10 Мираторг;143.0
4857;Мираторг69;Киноа с овощами и базиликом 400гр 1/15 Мираторг;201.0
4856;Мираторг69;Картофельные дольки с укропом 400гр 1/20 Мираторг;129.0
4855;Мираторг69;Картофель по-деревенски с травами с/м 400гр 1/10 Мираторг;131.0
4854;Мираторг69;Карибская смесь с/м 400гр 1/10 Vитамин (Мираторг);197.0
4851;Мираторг69;Гавайская смесь 400гр 1/20 Мираторг;122.0
4850;Мираторг69;Бурый рис с овощами и зеленью 400гр 1/15 Фермерские продукты Vитамин (Мираторг);141.0
4848;Мираторг69;Смесь  Рататуй  с/м 400гр 1/10 Мираторг Vитамин;150.0
4847;Мираторг69;Хрумпилсы из курицы Оригинал 250гр 1/12 Мираторг;167.0
4843;Мираторг69;Наггетсы куриные хруст.300гр 1/12 Мираторг;175.0
4841;Мираторг69;Наггетсы куриные традиц.1.5кг 1/6 Мираторг;507.0
4840;Мираторг69;Наггетсы куриные с сыром 300гр 1/12 Мираторг;201.0
4839;Мираторг69;Наггетсы куриные с ветчиной 300гр 1/12 Мираторг;201.0
4836;Мираторг69;Денвер стейк из говядины зам.290гр 1/4 Мираторг;851.0
4835;Мираторг69;Стейк  Стриплойн  зам 320гр 1/6 Мираторг;1130.0
4832;Мираторг69;Рагу говяжье с/м пак.1кг 1/4 Мираторг;300.0
4825;Мираторг69;Колбаски из мраморной говядины  Классические  зам.400гр 1/8 Мираторг;416.0
4823;Мираторг69;Колбаски из мяса птицы для гриля  Чиполетти  250гр 1/21 Мираторг;142.0
4822;Мираторг69;Колбаски из мяса птицы для гриля  Шашлычные  с/м лот. 400гр 1/16 Мираторг;255.0
4817;Мираторг69;Ребрышки свиные Барбекю с/м вес Мираторг;1061.0
4814;Мираторг69;Стейк  Свинина для гриля  с/м 400гр 1/8 Мираторг;369.0
4813;Мираторг69;Стейк  Котлета с косточкой  с/м 400гр 1/8 Мираторг;311.0
4812;Мираторг69;Шейка свиная б/к в Маринаде с/м в/у вес Мираторг;675.0
4810;Мираторг69;Карбонад свиной б/к в Маринаде с/м в/у вес Мираторг;607.0
4805;Мираторг69;Колбаски свиные к пиву с/м 400гр 1/8 Мираторг;0.0
