13065;Пакетыдлякухниуборки34;Перчатки латексные Glov Professional макс.плот.М 1/20;97.0
10762;Пакетыдлякухниуборки34;Салфетки вискозные универсальные  ПРОСТО ЧИСТО  3шт 1/50;43.0
9507;Пакетыдлякухниуборки34;Мешки для мусора CELESTA 60л 1/50 повышенной прочности;120.0
9506;Пакетыдлякухниуборки34;Мешки для мусора CELESTA 35л 1/80;59.0
9505;Пакетыдлякухниуборки34;Губки CELESTA в вакум. 3шт 1/50;102.0
9498;Пакетыдлякухниуборки34;Мешки Perfect House  Super Flex  60л 15шт 1/20;98.0
9497;Пакетыдлякухниуборки34;Мешки Perfect House  Super Flex  35л 25шт с завязками 1/20;102.0
9496;Пакетыдлякухниуборки34;Мешки Perfect House  Super Flex  60л 10шт с завязками 1/20;118.0
9495;Пакетыдлякухниуборки34;Мешки Perfect House  Super Flex  35л 15шт с завязками 1/20;134.0
9494;Пакетыдлякухниуборки34;Пленка пищевая CELESTA 20м 1/30;88.0
9492;Пакетыдлякухниуборки34;Пакеты фас в рулоне CELESTA 250шт 1/25;198.0
9491;Пакетыдлякухниуборки34;Мешки для мусора CELESTA 35л 1/80 с завязками желтые;161.0
7822;Пакетыдлякухниуборки34;Зева Бум.пол. т/б 2сл Светогорск белые 1/12;264.0
5118;Пакетыдлякухниуборки34;Пакет Yokosun с вырубной ручкой;15.0
3768;Пакетыдлякухниуборки34;Пакеты для мусора 120л. особопрочные  Просто чисто  1/15 (в рулоне 10шт);172.0
3325;Пакетыдлякухниуборки34;Пакетики для льда самозакрывающиеся  Qualita  1/48;75.0
3314;Пакетыдлякухниуборки34;Полотенца бумажные Belux Classic 2-х сл. белые 2шт. 1/12;131.0
1847;Пакетыдлякухниуборки34;Губки для мытья посуды  Qualita  Экстра Стронг 5 шт. 1/40;134.0
