12979;СладостиДетские236;PLAY ME ZOMБАКИ кукурузные шарик с игрушкой 50гр 16;174.0
12977;СладостиДетские236;ШОКИ-ТОКИ ТУРБОЗАВРЫ шоко.яйцо с сюрпризом 20гр 24/6;88.0
12975;СладостиДетские236;Яйцо шоколадное с игрушкой Шоки-Токи Тачки 20 г;123.0
12974;СладостиДетские236;PLAY ME РОБОТЕХНИКИ сладкий попкорн с игрушкой 50гр 16;174.0
12973;СладостиДетские236;FRUITLS MAXI щенячий патруль в плас.яйце с подарком 10гр 8/6;292.0
12972;СладостиДетские236;CAVE CLUB Хлеб/палочки с м/пастой вкус малины c сюрпр.85гр/36;110.0
12971;СладостиДетские236;44 CATS мармелад жевательный 85гр 15/6;65.0
12970;СладостиДетские236;Ментос Ролл XXL 8*24 233 г;71.0
12961;СладостиДетские236;SWEET BAR карамель на палочке арбузик 40гр/15/4;67.0
12960;СладостиДетские236;SWEET BAR карамель на палочке ананас 40гр/15/4;71.0
12959;СладостиДетские236;PLAY ME БУБА сладкий попкорн с игрушкой 50гр/16;200.0
12958;СладостиДетские236;Сладкая шипучка Шипелка в фигурном пакете с подарком в ассорт 5гр/40/6;38.0
12957;СладостиДетские236;МИ-МИ-МИШКИ набор для пускания мыльных пузырей 50мл/12/12;57.0
12956;СладостиДетские236;МАША И МЕДВЕДЬ драже в градуснике 8гр/30/20;29.0
12955;СладостиДетские236;Кидсбокс CAVE CLUB десерт с подарком 20гр/16/6;122.0
12954;СладостиДетские236;Кидсбокс МИНЬОНЫ десерт с подарком 20гр/16/6;122.0
12953;СладостиДетские236;БУБАМИ-Ми-МИШКИ/ЛЕДИ БАГ/ВСПЫШ маршмелки в форме трубочки 12гр/30/12;22.0
12952;СладостиДетские236;LOL зефир в пакетиках Зефирка 25гр/24/8;56.0
12951;СладостиДетские236;Кукурузные шарики PLAY ME 44 CATS с какао с игрушкой 50 гр/16;204.0
12950;СладостиДетские236;СМЕШАРИКИ зефир В ПАКЕТИКЕ  Зефирка  25гр/24/8;56.0
12949;СладостиДетские236;ENCHANTIMALS зефирная косичка со вкусом клубники 40гр/30/4;98.0
12948;СладостиДетские236;Дисней микс Принцесса/Тачки Фруктовые пас.в плас.яйце 5г 6/12;126.0
12947;СладостиДетские236;Меллер с шоколадом 1/24*8бл 38гр;51.0
12929;СладостиДетские236;HOT WEELS карамель с игрушкой в пласт.шаре 15гр/12/6;1.0
12731;СладостиДетские236;Чоко-Бой Карамель 100гр. 1/15;137.0
11622;СладостиДетские236;ТИГРЯТА мармелад в плас.яйце с игрушкой 10гр 12/6;100.0
11621;СладостиДетские236;СВИНКА ПЕППА мармелад жев.фруктовое ассорти 25гр 24/8;27.0
11606;СладостиДетские236;Царевны мармелад с игрушкой в коробочке 10 гр;171.0
9470;СладостиДетские236;Карамель  Лакомка  вареная сгущенка 200гр 1/30;87.0
9457;СладостиДетские236;Карамель  Веселая семейка  микс 200гр 1/30;83.0
9407;СладостиДетские236;Карамель  Лакомка  взбитые сливки 200гр 1/30;87.0
9333;СладостиДетские236;Карамель МИНИ МИКС 200гр 1/30 с желейной нач. Жили-Были Карамельки  клюквамалиначерная смородина;65.0
9324;СладостиДетские236;Карамель леденц. Пчёлка (микс) мини 180гр 1/22;80.0
9191;СладостиДетские236;Пирож. Медвеж.Барни шоколадный с ореховым вкусом 1/20 150гр;170.0
9189;СладостиДетские236;Пирож. Медвеж.Барни молочный 1/20 150гр;170.0
8891;СладостиДетские236;Бигбабол Клубника ж/р 21гр 1/24шт*16;26.0
8889;СладостиДетские236;Ментос Ролл Pure Fresh Тутти-Фрутти 155гр 1/24шт*12;49.0
8884;СладостиДетские236;Тик Так Ягодный микс 16гр 1/24/12бл;56.0
8880;СладостиДетские236;Тик Так драже Клубника 1/24/12бл;0.0
