8011;Феликс27;Феликс Вкуснятина с птицей 750гр 1/8;384.0
5004;Феликс27;Феликс фольга 85гр/1/26 1/24 треска с томатами;44.0
5002;Феликс27;Феликс фольга 85гр/26 курица в желе для котят;44.0
5001;Феликс27;Феликс фольга 85гр/1/26 1/24 утка с морковью в соусе (12318967);44.0
5000;Феликс27;Феликс фольга 85гр/1/26 1/24 индейка/бекон;44.0
4998;Феликс27;Феликс фольга 85гр/1/26 1/24 утка со шпинатом в желе;44.0
4995;Феликс27;Феликс фольга 85гр/26 лосось и форель в желе (12294937);44.0
4993;Феликс27;Феликс фольга 85гр/26 ягненок и курица в желе (12294935);44.0
4991;Феликс27;Феликс Двойная Вкуснятина с мясом 750гр 1/8;384.0
4989;Феликс27;Феликс Двойная Вкуснятина с рыбой 300гр 1/10;118.0
3430;Феликс27;Феликс фольга 85гр/24 лосось/треска в желе;44.0
3428;Феликс27;Феликс Двойная Вкуснятина с птицей 300 гр 1/10;185.0
3427;Феликс27;Феликс Двойная Вкуснятина с мясом 300гр 1/10;185.0
3423;Феликс27;Феликс фольга 48гр/30 суп с говядиной;27.0
3422;Феликс27;Феликс фольга 85гр/26 курица с томатами в желе;44.0
3421;Феликс27;Феликс фольга 85гр/26 лосось в желе;44.0
3419;Феликс27;Феликс фольга 85гр/26 ягненок в желе;44.0
3418;Феликс27;Феликс фольга 85гр/26 индейка/печень;44.0
3417;Феликс27;Феликс фольга 85гр/26 кролик в желе;44.0
3416;Феликс27;Феликс фольга 85гр/26 индейка в желе;44.0
3413;Феликс27;Феликс фольга 85гр/26 курица с морковью в желе;27.0
3412;Феликс27;Феликс фольга 85гр/ 1/26; 1/24 говядина и птица в желе;44.0
3409;Феликс27;Феликс фольга 85гр/ 1/26 1/24 говядина с томатами в желе;44.0
